ID,Age,Education,Marital Status,Parental Status,Children,Kidhome,Teenhome,Income,Spent,Customer Loyalty,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,NumWebVisitsMonth,Clusters
11100,43,0,0,1,2,1,1,51813.0,63,444,37,51,2,7,0,1,2,2,0,3,2,0,7,2
4646,64,2,1,0,0,0,0,78497.0,978,210,44,207,26,447,75,0,223,5,7,12,1,1,2,0
3037,32,1,1,0,0,0,0,50150.0,410,374,32,135,46,92,65,61,11,5,2,7,2,0,5,1
1473,55,2,0,1,1,0,1,47823.0,72,341,0,53,1,5,2,1,10,2,0,3,2,0,8,2
1016,56,1,0,1,1,0,1,34554.0,55,91,43,41,1,6,2,0,5,2,0,3,2,0,6,2
4518,36,0,1,1,1,0,1,85693.0,1169,435,59,386,172,183,185,132,111,9,5,11,2,0,5,0
9370,70,1,1,0,0,0,0,65846.0,1120,408,68,562,81,276,80,40,81,6,3,6,1,0,4,0
8908,56,0,1,0,0,0,0,87195.0,1097,52,35,217,76,690,50,26,38,3,11,5,1,0,1,0
8373,36,2,1,1,1,1,0,24594.0,29,201,94,1,3,6,10,0,9,1,0,3,1,0,5,1
7533,51,0,1,1,2,1,1,49096.0,187,278,15,144,1,32,2,1,7,4,1,4,4,0,7,2
2683,46,0,1,1,2,0,2,52413.0,910,512,56,295,106,271,75,98,65,6,4,12,4,0,6,3
3629,37,0,0,1,1,1,0,38557.0,145,557,17,76,3,31,4,4,27,3,1,3,2,0,7,1
10991,55,1,1,0,0,0,0,89058.0,850,569,18,454,194,106,31,22,43,5,4,4,1,0,2,0
5077,36,0,1,1,1,0,1,77298.0,969,239,46,425,115,292,23,35,79,6,6,11,1,0,3,3
7431,24,1,0,0,0,0,0,68126.0,1820,596,40,1332,17,311,23,51,86,7,4,5,1,1,9,0
3267,52,1,1,1,1,0,1,57288.0,608,4,27,527,0,21,0,0,60,8,1,8,3,1,6,3
999,24,0,0,0,0,0,0,86037.0,730,543,95,490,44,125,29,20,22,6,7,11,1,2,3,0
9215,35,1,1,1,1,1,0,43974.0,551,564,19,378,0,101,0,0,72,6,4,6,5,0,7,1
2286,53,0,0,1,2,1,1,50785.0,114,292,27,64,1,21,0,1,27,2,1,3,2,0,6,2
1592,45,0,1,0,0,0,0,90765.0,1724,156,25,547,99,812,151,82,33,4,6,5,0,2,1,0
367,37,2,1,1,1,1,0,36550.0,577,495,74,47,90,94,123,103,120,9,1,5,5,0,9,3
5234,48,2,1,1,2,1,1,30753.0,81,353,85,12,5,25,0,9,30,1,1,3,2,0,5,2
9862,46,0,1,1,1,1,0,21918.0,33,227,37,1,6,7,11,5,3,2,0,3,2,0,6,1
9805,62,1,1,1,1,0,1,56129.0,660,374,65,320,48,133,39,72,48,6,2,10,4,0,4,3
6205,48,1,0,1,1,1,0,32557.0,80,125,13,34,3,29,0,4,10,2,1,3,3,0,5,1
8442,30,1,1,1,2,2,0,19510.0,30,298,63,9,0,7,3,4,7,1,0,3,2,0,7,1
7386,39,0,0,1,1,1,0,30992.0,43,433,83,17,0,14,7,3,2,1,0,3,1,0,7,1
7215,32,0,0,0,0,0,0,101970.0,1135,474,69,722,27,102,44,72,168,6,8,13,0,3,2,0
1491,50,2,1,0,0,0,0,71488.0,559,496,87,162,33,124,40,28,172,3,4,7,2,0,1,0
11071,31,0,0,0,0,0,0,79607.0,1923,434,37,450,133,951,173,0,216,3,6,6,1,0,1,0
3381,62,1,1,1,2,1,1,54348.0,90,21,51,70,0,16,0,0,4,2,0,4,2,0,6,2
11051,59,1,1,1,2,1,1,77376.0,661,50,72,492,19,110,16,12,12,6,3,10,4,0,4,3
8026,63,0,1,1,1,0,1,62998.0,463,272,10,120,58,73,65,89,58,5,4,5,5,0,5,3
433,57,1,0,1,2,1,1,61331.0,632,476,42,534,5,47,0,5,41,11,1,6,5,0,8,3
9597,46,0,1,0,0,0,0,73448.0,725,139,10,236,106,189,23,41,130,7,2,9,1,0,4,0
5290,51,1,1,1,2,1,1,41551.0,279,319,51,220,0,33,3,0,23,5,1,5,5,0,8,2
1685,48,1,1,0,0,0,0,62981.0,1482,469,21,796,14,590,38,44,0,4,5,13,1,1,3,0
5342,39,2,0,1,1,1,0,9548.0,29,690,31,0,1,3,10,6,9,1,0,3,2,0,8,1
9579,56,1,1,1,3,2,1,33762.0,106,357,61,53,1,34,2,0,16,2,2,2,3,0,8,2
7660,42,1,0,1,2,1,1,35860.0,49,41,37,15,0,8,4,2,20,1,1,2,2,1,5,2
1461,50,1,0,1,2,1,1,36921.0,38,336,74,17,1,12,3,1,4,2,0,3,2,0,7,2
821,23,1,0,0,0,0,0,92859.0,2077,618,46,962,61,921,52,61,20,5,4,12,1,0,2,0
11084,39,1,1,1,1,0,1,65104.0,1053,227,4,738,0,232,13,20,50,3,5,7,2,0,7,3
8690,53,0,1,0,0,0,0,86111.0,1385,436,73,399,28,756,36,40,126,5,7,10,1,0,2,0
2937,41,1,0,1,1,0,1,68352.0,871,305,47,614,16,132,43,33,33,8,5,9,3,0,6,3
9701,27,0,1,1,1,1,0,41883.0,312,467,13,32,34,41,73,16,116,4,2,3,3,0,7,1
9949,39,0,1,1,2,0,2,59809.0,877,619,36,598,16,141,32,41,49,3,3,6,3,0,8,3
10837,40,0,1,1,1,1,0,23957.0,68,609,47,2,1,18,20,11,16,2,0,3,1,0,6,1
3120,34,0,1,1,1,1,0,38547.0,22,305,49,6,1,10,0,1,4,1,0,2,1,0,8,1
5885,42,2,1,1,3,2,1,35688.0,211,676,94,73,3,90,12,1,32,4,1,4,7,0,8,2
4050,49,1,1,0,0,0,0,49605.0,127,8,65,42,16,29,12,20,8,2,1,4,1,0,3,1
3830,62,1,1,1,2,0,2,59354.0,459,66,59,295,21,78,39,13,13,4,4,7,1,0,3,2
7987,46,0,1,1,1,0,1,65747.0,460,114,96,346,17,48,23,13,13,8,1,6,4,1,6,3
7798,43,2,1,1,1,0,1,46344.0,429,562,28,233,20,57,8,20,91,7,1,5,4,0,7,3
92,27,0,0,1,1,1,0,34176.0,89,48,12,5,7,24,19,14,20,3,0,4,4,0,6,1
7055,63,1,1,1,1,0,1,61010.0,1021,628,57,888,0,57,0,0,76,8,5,11,2,0,5,3
10240,66,0,1,0,0,0,0,69372.0,1381,495,10,997,26,269,34,13,42,10,4,6,1,2,4,0
3025,57,0,0,1,1,0,1,49967.0,306,356,4,212,6,69,4,12,3,6,1,5,3,0,7,2
9283,37,0,0,1,3,1,2,60199.0,18,290,49,8,1,7,2,0,0,0,0,3,1,0,4,2
9970,38,0,1,1,1,0,1,55375.0,162,255,3,42,11,57,10,28,14,1,1,6,1,0,2,2
2730,60,0,0,0,0,0,0,80317.0,1231,313,64,536,11,387,149,91,57,3,4,10,1,0,1,0
2795,57,1,0,1,3,2,1,30523.0,13,363,0,5,0,3,0,0,5,1,0,2,1,0,7,2
9260,70,1,1,0,0,0,0,70356.0,1706,601,20,1349,16,249,43,16,33,10,6,9,2,0,6,0
8182,31,0,1,1,1,1,0,23228.0,121,175,91,53,3,49,7,4,5,3,0,4,4,0,8,1
10095,40,1,0,0,0,0,0,74165.0,1293,424,9,1001,12,240,16,12,12,5,4,10,1,0,2,0
8475,42,1,1,1,1,0,1,157243.0,1608,120,98,20,2,1582,1,2,1,0,22,0,15,0,0,3
4370,49,0,1,1,3,2,1,43482.0,88,228,83,18,1,32,6,3,28,2,0,4,3,0,6,2
10573,62,0,0,0,0,0,0,62551.0,421,223,27,125,16,98,134,21,27,6,7,4,1,1,3,0
3712,56,0,0,0,0,0,0,52332.0,259,305,63,212,5,33,7,0,2,3,2,6,1,1,4,1
6637,27,0,0,0,0,0,0,66951.0,1117,239,46,277,162,305,173,76,124,3,4,7,1,0,1,0
3152,58,0,1,1,2,1,1,26091.0,89,124,84,15,10,19,8,17,20,2,1,3,3,0,5,2
5610,50,0,1,1,2,1,1,33456.0,36,69,58,7,3,10,8,1,7,1,0,3,2,0,7,2
6460,33,0,1,1,1,1,0,28718.0,57,351,78,12,4,6,11,8,16,2,0,3,2,0,8,1
1349,45,0,1,1,2,2,0,50447.0,148,69,4,85,7,24,2,3,27,3,1,3,1,0,6,2
1880,56,1,1,1,2,1,1,53537.0,93,150,17,81,0,6,0,0,6,2,1,3,2,0,5,2
641,48,0,0,1,1,0,1,52074.0,119,86,77,59,0,12,0,0,48,2,2,2,1,1,4,2
8717,40,1,1,1,1,0,1,80427.0,1835,655,56,1149,71,449,69,71,26,11,8,8,1,0,5,3
10314,67,1,1,0,0,0,0,83837.0,1318,560,79,847,66,119,86,89,111,9,10,5,1,2,4,0
10854,45,1,1,1,2,1,1,38853.0,45,37,90,29,0,14,0,0,2,2,0,3,2,0,7,2
10492,56,0,1,1,3,2,1,38285.0,10,5,96,2,0,5,2,0,1,0,0,3,1,0,2,2
6935,64,2,1,0,0,0,0,78497.0,978,210,44,207,26,447,75,0,223,5,7,12,1,1,2,0
7698,39,1,1,1,1,0,1,51650.0,191,49,81,152,3,22,2,5,7,4,1,4,1,0,5,2
3559,27,2,1,1,1,1,0,16248.0,57,50,77,12,11,10,3,12,9,2,1,3,3,0,6,1
10562,69,1,1,0,0,0,0,66835.0,1033,274,21,620,26,195,34,17,141,6,4,13,1,0,2,0
10796,31,1,1,1,1,1,0,30477.0,66,158,16,47,1,6,0,0,12,1,1,3,1,0,6,1
2563,54,2,1,0,0,0,0,28249.0,43,14,80,1,9,7,2,14,10,2,0,3,1,0,6,1
3518,32,0,1,1,1,1,0,25271.0,50,571,45,10,1,18,10,4,7,1,1,2,1,0,9,1
5823,45,1,0,1,1,0,1,32303.0,39,113,63,35,0,2,0,0,2,1,0,4,2,0,5,2
3934,49,0,1,1,1,0,1,61286.0,608,331,34,356,0,107,19,9,117,7,1,8,2,0,5,3
6982,39,0,1,0,0,0,0,74068.0,1581,467,14,783,30,537,140,76,15,4,10,9,1,0,2,0
6431,51,1,1,1,2,1,1,45759.0,68,491,13,42,1,18,3,0,4,2,0,3,2,0,7,2
9733,37,2,1,1,1,1,0,24882.0,80,658,52,1,4,10,29,0,36,1,1,2,1,1,6,1
5602,26,1,1,0,0,0,0,66973.0,1282,408,98,466,22,432,147,113,102,8,7,12,1,0,3,0
1324,27,0,1,1,1,1,0,38872.0,91,395,93,23,3,21,3,19,22,3,0,3,2,0,8,1
326,42,0,1,1,2,1,1,51148.0,315,496,38,235,6,45,8,9,12,5,1,6,4,0,6,2
7224,38,0,1,1,2,1,1,31353.0,31,182,24,10,0,10,3,1,7,1,1,2,2,0,8,2
6999,35,1,1,0,0,0,0,69661.0,834,47,80,656,16,106,32,16,8,7,3,12,1,0,3,0
9938,61,0,1,0,0,0,0,80067.0,1600,283,82,519,17,813,27,173,51,4,6,6,1,1,2,0
6422,61,0,1,0,0,0,0,86718.0,1270,528,20,344,189,482,50,33,172,5,6,5,1,0,2,0
3182,42,1,0,1,2,1,1,46854.0,263,90,81,96,1,79,7,1,79,5,1,3,6,1,8,2
7300,63,0,0,1,1,0,1,69142.0,535,0,50,448,4,34,6,4,39,8,1,7,3,1,5,3
10424,47,0,0,0,0,0,0,75922.0,1295,202,60,265,138,553,224,23,92,4,4,9,1,0,1,0
8727,37,0,0,1,1,0,1,63693.0,1150,258,63,587,43,337,42,87,54,11,6,9,3,0,6,3
2798,38,1,1,0,0,0,0,102160.0,1240,604,54,763,29,138,76,176,58,7,9,10,0,3,4,0
1030,50,1,0,1,2,1,1,40637.0,38,347,72,22,0,13,0,0,3,1,0,3,2,0,7,2
624,31,1,0,0,0,0,0,18890.0,35,596,5,6,4,1,7,2,15,0,1,2,1,1,6,1
5176,27,0,1,1,1,1,0,29604.0,53,203,88,7,6,13,7,6,14,1,0,3,1,1,9,1
5552,52,1,0,1,2,1,1,48721.0,293,412,50,81,18,113,47,13,21,4,2,5,6,0,6,2
868,49,0,1,1,1,0,1,44794.0,65,21,99,54,0,7,0,0,4,2,0,3,1,0,6,2
380,61,0,0,1,1,0,1,64497.0,1804,657,17,1170,48,320,42,32,192,11,4,9,5,1,8,3
2677,59,0,1,1,1,0,1,46097.0,241,455,11,72,24,68,65,4,8,3,1,6,5,0,4,2
6521,61,0,1,0,0,0,0,77972.0,1101,103,18,613,22,319,33,102,12,4,6,9,1,0,1,0
6927,47,1,1,1,2,1,1,44377.0,264,632,70,224,0,30,0,0,10,5,1,5,8,0,8,2
2877,41,1,1,1,2,1,1,46014.0,541,524,21,410,0,59,19,9,44,7,1,8,10,0,7,3
0,30,0,1,0,0,0,0,70951.0,1198,421,66,239,10,554,254,87,54,3,4,9,1,0,1,0
1584,38,0,1,1,1,1,0,41443.0,482,89,79,171,7,171,25,19,89,8,1,5,6,0,8,2
7264,37,2,0,1,3,2,1,52195.0,17,48,2,12,0,4,0,0,1,1,0,2,1,0,8,2
6274,67,1,1,0,0,0,0,83790.0,1615,226,81,1076,16,417,42,48,16,8,10,6,1,2,3,0
1377,61,1,0,1,1,0,1,44551.0,285,302,24,182,4,33,0,0,66,4,1,5,2,0,7,2
454,35,0,1,1,1,1,0,69508.0,1135,592,48,824,32,162,42,32,43,11,4,11,2,0,6,3
1755,27,2,1,1,1,1,0,45204.0,114,79,93,30,11,25,29,1,18,1,1,4,1,0,3,1
2075,46,0,1,0,0,0,0,72460.0,1047,227,56,377,10,540,80,30,10,3,5,7,1,0,1,0
4785,45,1,1,1,2,0,2,77622.0,714,76,3,520,7,154,19,0,14,6,3,11,2,0,3,3
9076,35,1,1,1,1,1,0,30732.0,185,540,44,155,1,25,0,1,3,4,1,4,4,0,8,1
7079,53,0,0,1,1,0,1,63887.0,1245,659,38,897,23,207,15,11,92,9,6,12,5,0,6,3
4653,37,0,1,1,1,1,0,42011.0,189,460,46,131,0,16,2,1,39,3,1,4,4,0,8,1
7375,39,0,1,1,1,0,1,51369.0,576,612,84,297,7,79,0,11,182,8,2,4,2,0,8,3
709,63,0,0,1,1,0,1,51537.0,1103,567,27,787,20,204,0,0,92,2,2,11,3,0,8,3
460,43,1,1,0,0,0,0,79930.0,1753,690,72,792,86,740,67,51,17,3,5,8,1,0,2,0
3726,29,1,1,1,1,1,0,34320.0,17,133,66,4,1,9,3,0,0,1,0,2,1,0,8,1
6798,49,0,0,1,2,1,1,37070.0,433,466,30,231,7,137,4,15,39,5,1,8,9,0,7,2
5341,53,2,0,1,1,0,1,81975.0,1588,540,2,983,76,184,180,138,27,6,3,4,1,1,7,3
1606,44,0,1,1,1,1,0,38590.0,22,410,65,3,1,8,4,3,3,1,0,2,1,0,8,1
9617,64,0,0,0,0,0,0,15033.0,19,74,37,0,4,5,6,0,4,1,0,3,1,0,3,1
3233,50,1,1,1,1,0,1,62745.0,1117,463,89,562,21,464,28,10,32,7,8,11,3,0,5,3
89,40,2,1,1,1,1,0,22212.0,69,202,49,5,9,20,6,8,21,2,0,4,2,0,6,1
2936,33,1,1,1,1,1,0,23661.0,23,207,46,18,0,4,0,0,1,1,0,3,1,0,7,1
9449,57,1,0,1,1,0,1,79761.0,605,268,32,415,5,124,15,35,11,5,2,11,1,0,3,3
7297,42,0,0,1,1,1,0,7500.0,57,185,54,5,3,10,12,7,20,3,1,3,4,0,7,1
313,47,0,0,0,0,0,0,73455.0,2088,244,98,901,61,757,186,163,20,6,5,10,1,1,3,0
9940,57,0,1,1,1,0,1,64961.0,1009,553,97,382,114,276,75,124,38,6,4,4,2,0,3,3
10735,44,0,0,1,1,1,0,22804.0,26,333,75,14,1,7,2,1,1,2,0,2,1,0,9,1
9529,25,0,1,0,0,0,0,73687.0,1627,213,8,559,153,503,218,13,181,3,9,9,1,1,2,0
6439,57,0,1,1,1,0,1,61074.0,1102,681,37,789,0,133,0,28,152,11,5,8,7,0,7,3
7411,51,1,1,1,2,1,1,31686.0,17,24,31,11,0,5,0,0,1,1,0,3,2,0,6,2
2176,43,0,1,1,1,1,0,80134.0,1690,405,40,1218,16,272,104,0,80,5,3,6,2,3,6,3
9265,62,0,1,1,1,0,1,75027.0,1390,536,74,925,64,179,133,12,77,9,4,6,2,0,5,3
8867,27,1,1,0,0,0,0,67546.0,2126,667,90,864,134,768,150,38,172,4,10,5,1,0,3,0
8932,46,1,1,1,1,0,1,65176.0,1531,608,57,960,28,183,220,70,70,9,6,6,4,0,6,3
10236,40,1,0,1,1,1,0,31160.0,64,286,59,16,3,25,6,1,13,2,0,3,2,0,8,1
6340,30,0,0,1,1,1,0,29938.0,26,245,52,3,3,7,0,2,11,1,0,3,2,0,6,1
10089,41,0,0,0,0,0,0,102692.0,1112,450,5,168,148,444,32,172,148,6,9,13,1,4,2,0
2227,57,2,1,0,0,0,0,26490.0,210,645,92,45,47,52,21,20,25,3,1,5,2,0,6,1
10992,48,0,1,1,2,1,1,75702.0,1148,669,77,650,28,353,45,42,30,4,6,11,5,0,8,3
5304,41,1,0,1,1,1,0,30899.0,33,624,35,24,0,8,0,0,1,1,0,3,2,0,6,1
309,54,1,1,1,1,0,1,63342.0,1101,621,48,918,21,118,13,10,21,8,3,5,3,1,6,3
3406,51,0,0,1,1,0,1,45989.0,322,615,97,138,33,87,28,24,12,3,2,7,4,0,3,3
2661,51,0,0,1,2,1,1,18701.0,44,390,95,12,4,2,10,6,10,2,0,4,4,0,5,2
3153,58,1,0,1,3,2,1,40737.0,17,203,24,11,0,4,0,0,2,1,0,2,1,0,8,2
10264,36,0,0,1,1,1,0,15287.0,31,627,60,1,2,8,4,3,13,1,1,2,2,1,7,1
1184,47,1,0,1,2,0,2,69674.0,845,403,46,554,41,215,11,0,24,10,2,10,3,0,5,3
4200,45,1,1,1,1,1,0,44159.0,275,12,85,167,2,62,24,13,7,4,1,6,4,0,5,2
9396,37,1,1,1,1,1,0,37717.0,25,583,31,9,0,6,4,1,5,1,0,2,1,0,9,1
2387,63,1,1,1,2,1,1,43776.0,275,511,9,177,2,71,3,2,20,5,2,4,6,0,8,2
6690,49,1,1,1,2,1,1,38179.0,90,472,30,38,4,22,4,2,20,3,1,3,4,0,7,2
